Word,Valence,ValenceCategory,Arousal,ArousalCategory,CategoryIndex
reference,0.15749999999999997,M,-0.39749999999999996,L,3
referral,0.1299999999999999,M,-0.1200000000000001,H,5
refill,0.1200000000000001,M,-0.37,L,3
refine,0.04249999999999998,L,-0.35,L,0
refined,0.2775000000000001,M,-0.26249999999999996,M,4
refinement,0.26249999999999996,M,-0.30500000000000005,M,4
refinery,-0.06000000000000005,L,-0.34750000000000003,L,0
reflect,0.2749999999999999,M,-0.4125,L,3
reflection,0.17500000000000004,M,-0.2250000000000001,M,4
reflective,0.14250000000000007,M,-0.405,L,3
reflex,0.06000000000000005,L,-0.07499999999999996,H,2
reform,0.012499999999999956,L,-0.05499999999999994,H,2
refrain,0.07499999999999996,L,-0.38249999999999995,L,0
refresh,0.405,H,-0.5575,L,6
refreshing,0.5125,H,-0.25,M,7
refreshment,0.45500000000000007,H,-0.19500000000000006,M,7
refrigerator,0.18999999999999995,M,-0.4375,L,3
refuel,0.125,M,-0.040000000000000036,H,5
refuge,0.23750000000000004,M,-0.41000000000000003,L,3
refugee,-0.08000000000000007,L,-0.1775,M,1
refund,0.5,H,-0.010000000000000009,H,8
refusal,-0.5125,L,-0.5,L,0
refuse,-0.395,L,-0.16999999999999993,M,1
refute,-0.15749999999999997,L,-0.11250000000000004,H,2
regain,0.3125,M,-0.48750000000000004,L,3
regal,0.2250000000000001,M,-0.4375,L,3
regard,0.17500000000000004,M,-0.40249999999999997,L,3
regatta,-0.02499999999999991,L,-0.43500000000000005,L,0
regenerate,0.18999999999999995,M,-0.08749999999999991,H,5
regeneration,0.25,M,0.0,H,5
reggae,0.0475000000000001,L,0.0,H,2
regime,-0.20750000000000002,L,-0.27749999999999997,M,1
regimen,0.08000000000000007,L,-0.3225,M,1
regiment,0.040000000000000036,L,-0.5,L,0
regimental,0.02499999999999991,L,-0.38749999999999996,L,0
region,0.05249999999999999,L,-0.43999999999999995,L,0
regional,-0.012499999999999956,L,-0.012499999999999956,H,2
register,0.10749999999999993,L,-0.46499999999999997,L,0
registrar,0.09250000000000003,L,-0.4325,L,0
registration,-0.05249999999999999,L,-0.47750000000000004,L,0
registry,-0.08000000000000007,L,-0.37,L,0
regression,-0.38,L,-0.31499999999999995,M,1
regret,-0.39749999999999996,L,-0.02499999999999991,H,2
regretful,-0.475,L,-0.1100000000000001,H,2
regrettable,-0.36750000000000005,L,0.0,H,2
regroup,-0.07499999999999996,L,-0.22750000000000004,M,1
regular,0.27249999999999996,M,-0.3375,L,3
regulate,0.040000000000000036,L,-0.26249999999999996,M,1
regulation,-0.2124999999999999,L,-0.38749999999999996,L,0
regulator,-0.02499999999999991,L,-0.3025,M,1
rehab,-0.4525,L,-0.15500000000000003,M,1
rehabilitate,0.33000000000000007,M,-0.08250000000000002,H,5
rehabilitation,0.06000000000000005,L,-0.18999999999999995,M,1
rehash,-0.1875,L,-0.3025,M,1
rehearsal,0.2749999999999999,M,-0.040000000000000036,H,5
